"id","loc","year","mes","day","gh9","gh10","gh11","gh12","gh13","gh14","gh15","gh16","ghext9","ghext10","ghext11","ghext12","ghext13","ghext14","ghext15","ghext16","kh9","kh10","kh11","kh12","kh13","kh14","kh15","kh16","gd","gdext","kd","gh9_diaprevio","gh10_diaprevio","gh11_diaprevio","gh12_diaprevio","gh13_diaprevio","gh14_diaprevio","gh15_diaprevio","gh16_diaprevio","gd_previo","gdext_previo","kd_previo","t9_12_diaprevio","t13_15_diaprevio","h8_diaprevio","h14_diaprevio","t_dia_diaprevio","preciptac_dia_diaprevio","Predicc_temp_day_C","Predicc_Relative_humidity_day_0_1","Predicc_cloudy_sky_day_0_1","Predicc_temp_10_11_12_C","Predicc_temp_13_14_15_C","Predicc_R_hum_10_11_12","Predicc_R_hum_13_14_15","Predicc_cloudy_10_11_12","Predicc_cloudy_13_14_15","Predic_Gd","Predic_Kd","Today_cluster14_semiautom","Today_cluster14_experts","kd_predicted_rf_basic_prediction"
15382,"MA",2015,3,26,155.6,280.6,241.7,580.6,952.8,819.4,694.4,519.4,688.2,889.4,1031.6,1105.3,1105.3,1031.6,889.4,688.2,0.226,0.315,0.234,0.525,0.862,0.794,0.781,0.755,4736.1,8626.2,0.549,525,655.6,488.9,450,633.3,813.9,663.9,522.2,5430.6,8565,0.634,12.5,15.8,64,31,13.4,0,12.5,0.488,0.387,13.817,16.383,0.448,0.431,0.624,0.511,6093.5,0.706,"c06","c06",0.552356
20469,"SS",2014,1,30,41.7,127.8,416.7,191.7,38.9,69.4,225,72.2,292,470.2,596.3,661.5,661.5,596.3,470.2,292,0.143,0.272,0.699,0.29,0.059,0.116,0.479,0.247,1200,4175.8,0.287,88.9,158.3,122.2,308.3,130.6,163.9,61.1,41.7,1105.6,4125.5,0.268,6.2,8.2,62,69,6.8,23.9,7.7,0.882,0.7,8.35,8.983,0.892,0.886,0.589,0.505,2593,0.621,"c13","c09",0.2652776
8303,"BI",2008,1,31,136.1,305.6,430.6,500,494.4,413.9,219.4,150,297.2,475.6,601.8,667.1,667.1,601.8,475.6,297.2,0.458,0.642,0.715,0.749,0.741,0.688,0.461,0.505,2691.7,4227.2,0.637,77.8,130.6,227.8,155.6,83.3,72.2,44.4,13.9,833.3,4175.8,0.2,1.9,8.8,89,73,5.6,5.6,5.3,0.804,0.317,8.85,10.65,0.629,0.477,0,0.174,3194.5,0.756,"c03","c02",0.5963847
17977,"MU",2014,4,27,594.4,775,908.3,983.3,975,925,788.9,619.4,814,1002.9,1136.5,1205.6,1205.6,1136.5,1002.9,814,0.73,0.773,0.799,0.816,0.809,0.814,0.787,0.761,7769.4,10248.3,0.758,516.7,725,886.1,980.6,930.6,913.9,786.1,563.9,7386.1,10203.4,0.724,19.2,28,40,25,23,0,18.6,0.596,0.089,19.817,20.717,0.462,0.443,0,0.037,7949,0.776,"c01","c01",0.733864799999998
22358,"ST",2011,1,29,8.3,30.6,47.2,72.2,72.2,52.8,38.9,8.3,284.2,461.7,587.2,652.1,652.1,587.2,461.7,284.2,0.029,0.066,0.08,0.111,0.111,0.09,0.084,0.029,336.1,4095.2,0.082,38.9,72.2,100,358.3,475,144.4,63.9,25,1302.8,4045.9,0.322,5.6,11,77,80,8.7,1.5,9.3,0.818,0.894,9.65,9.75,0.826,0.816,1,0.903,1822.8,0.445,"c14","c14",0.116699066666667
7583,"BA",2014,9,15,461.1,622.2,733.3,769.4,747.2,661.1,575,433.3,659.8,845.6,977,1045,1045,977,845.6,659.8,0.699,0.736,0.751,0.736,0.715,0.677,0.68,0.657,5677.8,8263.8,0.687,294.4,283.3,463.9,772.2,786.1,713.9,450,63.9,4108.3,8329.7,0.493,22.7,26.4,82,77,23.2,6.3,22.2,0.848,0.661,22.65,23.017,0.848,0.852,0.435,0.483,5045.4,0.611,"c02","c01",0.563426300000002
8582,"BI",2008,11,24,33.3,50,147.2,111.1,122.2,347.2,180.6,75,241,416,539.8,603.9,603.9,539.8,416,241,0.138,0.12,0.273,0.184,0.202,0.643,0.434,0.311,1133.3,3669.4,0.309,22.2,55.6,80.6,127.8,116.7,116.7,75,63.9,700,3707.1,0.189,11.2,13.3,94,85,12.8,18.3,8.8,0.89,0.615,9.35,8.95,0.841,0.803,0.971,0.352,1133.4,0.309,"c12","c10",0.2912046
4414,"AL",2012,1,23,205.6,350,461.1,527.8,536.1,472.2,350,194.4,335.5,526.1,660.9,730.7,730.7,660.9,526.1,335.5,0.613,0.665,0.698,0.722,0.734,0.714,0.665,0.58,3191.7,4691.5,0.68,213.9,363.9,477.8,538.9,538.9,477.8,363.9,208.3,3286.1,4650.1,0.707,4.4,16.9,83,43,11,0,9.9,0.837,0.024,13.55,14.483,0.768,0.67,0.121,0.042,3351.1,0.714,"c02","c02",0.672581700000001
17693,"MU",2013,6,14,666.7,822.2,933.3,991.7,994.4,941.7,838.9,680.6,894.9,1070.4,1194.4,1258.7,1258.7,1194.4,1070.4,894.9,0.745,0.768,0.781,0.788,0.79,0.788,0.784,0.76,8616.7,11465.3,0.752,661.1,816.7,927.8,988.9,991.7,936.1,836.1,686.1,8591.7,11459.4,0.75,22.4,33.8,65,30,26.5,0,21.5,0.777,0,22.883,23.05,0.722,0.704,0,0,8611.4,0.751,"c01","c01",0.749292666666667
20894,"SS",2015,5,8,613.9,688.9,672.2,722.2,627.8,719.4,677.8,633.3,825.8,996.5,1117.2,1179.8,1179.8,1117.2,996.5,825.8,0.743,0.691,0.602,0.612,0.532,0.644,0.68,0.767,6891.7,10506.8,0.656,388.9,425,944.4,961.1,944.4,891.7,788.9,644.4,7394.4,10461.7,0.707,12.8,26.2,77,31,18.7,0,18.1,0.634,0.143,19.45,18.783,0.552,0.59,0.166,0.032,7428.9,0.707,"c02","c02",0.656485100000001
22388,"ST",2011,3,1,152.8,102.8,80.6,105.6,55.6,108.3,136.1,38.9,471,653.9,783.2,850.1,850.1,783.2,653.9,471,0.324,0.157,0.103,0.124,0.065,0.138,0.208,0.083,852.8,6051.1,0.141,111.1,111.1,305.6,266.7,477.8,519.4,266.7,169.4,2305.6,5979,0.386,8,9.7,77,69,8.4,4.5,8.6,0.671,0.714,8.45,8.35,0.713,0.671,0.872,0.554,1973.5,0.326,"c14","c14",0.198875733333333
3195,"AL",2008,6,9,280.6,455.6,655.6,525,766.7,502.8,405.6,130.6,892.5,1067.9,1191.9,1256.1,1256.1,1191.9,1067.9,892.5,0.314,0.427,0.55,0.418,0.61,0.422,0.38,0.146,4008.3,11429.8,0.351,105.6,105.6,163.9,197.2,530.6,480.6,311.1,180.6,2386.1,11419.6,0.209,19.6,19.8,69,68,18,4,18.1,0.692,0.45,20.55,22.05,0.569,0.51,0.713,0.016,6428,0.562,"c09","c08",0.393836566666667
7554,"BA",2014,8,16,100,133.3,152.8,183.3,305.6,588.9,725,561.1,794.5,972.5,1098.3,1163.5,1163.5,1098.3,972.5,794.5,0.126,0.137,0.139,0.158,0.263,0.536,0.746,0.706,3619.4,10028.9,0.361,630.6,202.8,911.1,669.4,780.6,730.6,402.8,150,4955.6,10078.4,0.492,21.4,24.5,81,77,22.8,0.4,21.3,0.657,0.561,21.217,21.617,0.627,0.658,0.909,0.608,4147.5,0.414,"c10","c10",0.387869333333333
7478,"BA",2014,6,1,663.9,808.3,908.3,961.1,958.3,902.8,794.4,641.7,880.8,1049.9,1169.5,1231.4,1231.4,1169.5,1049.9,880.8,0.754,0.77,0.777,0.781,0.778,0.772,0.757,0.728,8058.3,11318.7,0.712,672.2,816.7,855.6,977.8,638.9,358.3,97.2,108.3,5777.8,11298.8,0.511,18.7,19.3,58,73,18,0,18.4,0.647,0.237,19.35,19.15,0.622,0.689,0,0.249,8031.8,0.71,"c01","c01",0.681258099999999
6835,"BA",2012,7,25,616.7,769.4,883.3,933.3,927.8,863.9,752.8,600,856.3,1027.6,1148.7,1211.4,1211.4,1148.7,1027.6,856.3,0.72,0.749,0.769,0.77,0.766,0.752,0.733,0.701,7758.3,10940.6,0.709,633.3,780.6,891.7,936.1,936.1,863.9,741.7,605.6,7827.8,10972.6,0.713,24.2,24.9,49,70,23.6,0,23.5,0.69,0,25.083,25.383,0.649,0.629,0,0,8119,0.742,"c01","c01",0.704276033333333
17216,"MU",2012,1,5,175,330.6,444.4,513.9,516.7,455.6,344.4,188.9,284.7,472.5,605.4,674.2,674.2,605.4,472.5,284.7,0.615,0.7,0.734,0.762,0.766,0.752,0.729,0.664,3030.6,4181.3,0.725,172.2,330.6,450,511.1,513.9,450,366.7,172.2,3027.8,4162.7,0.727,10.5,20.1,54,30,15,0,15.1,0.519,0.08,15.383,18.55,0.514,0.42,0,0.001,3072.2,0.735,"c02","c01",0.713289533333334
14180,"MA",2011,10,17,338.9,491.7,519.4,677.8,594.4,636.1,513.9,244.4,527.1,727,868.3,941.5,941.5,868.3,727,527.1,0.643,0.676,0.598,0.72,0.631,0.733,0.707,0.464,4363.9,6749.1,0.647,344.4,522.2,638.9,702.8,700,633.3,516.7,336.1,4694.4,6811.4,0.689,16.5,24.1,92,62,21.1,0,20,0.751,0.559,22.35,22.517,0.654,0.666,0.462,0.914,4493.2,0.666,"c03","c02",0.594051033333333
4100,"AL",2011,2,21,277.8,513.9,611.1,363.9,352.8,413.9,480.6,333.3,485.9,682.7,822,894.1,894.1,822,682.7,485.9,0.572,0.753,0.743,0.407,0.395,0.504,0.704,0.686,3580.6,6283.2,0.57,294.4,538.9,433.3,597.2,486.1,322.2,461.1,338.9,3702.8,6219,0.595,14.1,20,66,38,16,0,15.6,0.39,0.297,17.45,19.15,0.276,0.238,0,0,4783.9,0.761,"c05","c05",0.622659799999999
22085,"ST",2010,3,31,497.2,650,777.8,813.9,183.3,94.4,55.6,75,658.6,839.7,967.9,1034.2,1034.2,967.9,839.7,658.6,0.755,0.774,0.804,0.787,0.177,0.098,0.066,0.114,3755.6,8246.1,0.455,372.2,525,772.2,577.8,666.7,658.3,425,213.9,4561.1,8175.4,0.558,10.6,12.5,95,81,10.9,0.8,11.1,0.602,0.233,12.85,10.55,0.573,0.773,0.875,0.985,3897.3,0.473,"c11","c07",0.458520866666667
23150,"ST",2013,7,24,558.3,772.2,875,922.2,927.8,861.1,763.9,580.6,851.9,1017.3,1134.2,1194.8,1194.8,1134.2,1017.3,851.9,0.655,0.759,0.771,0.772,0.777,0.759,0.751,0.681,7644.4,10929.6,0.699,63.9,75,97.2,91.7,91.7,141.7,147.2,136.1,1136.1,10963.5,0.104,19.7,19.3,96,95,19.4,1.2,21.5,0.828,0.083,22.583,22.883,0.768,0.779,0,0,7885.7,0.721,"c01","c01",0.669151366666668
9565,"BI",2011,12,8,105.6,236.1,338.9,386.1,377.8,325,200,91.7,199.2,372.3,494.7,558.1,558.1,494.7,372.3,199.2,0.53,0.634,0.685,0.692,0.677,0.657,0.537,0.46,2075,3274.4,0.634,55.6,113.9,261.1,263.9,200,155.6,69.4,33.3,1158.3,3294,0.352,13.4,16.2,62,54,13.7,0,10.7,0.815,0.277,12.15,15.25,0.694,0.586,0.016,0.048,2196.3,0.671,"c03","c02",0.598339633333333
22135,"ST",2010,5,25,638.9,808.3,927.8,983.3,980.6,341.7,447.2,247.2,865.2,1030.3,1147.1,1207.6,1207.6,1147.1,1030.3,865.2,0.738,0.785,0.809,0.814,0.812,0.298,0.434,0.286,6647.2,11127.4,0.597,630.6,788.9,825,902.8,927.8,872.2,766.7,622.2,7766.7,11098.3,0.7,17.8,19.5,87,81,17.8,2.3,16.5,0.781,0.238,19.55,17.75,0.501,0.698,0.067,0.462,7668.2,0.689,"c07","c02",0.5818941
24319,"TO",2008,5,8,72.2,125,452.8,861.1,666.7,588.9,461.1,316.7,839.1,1019.2,1146.6,1212.5,1212.5,1146.6,1019.2,839.1,0.086,0.123,0.395,0.71,0.55,0.514,0.452,0.377,3869.4,10634.4,0.364,580.6,650,738.9,713.9,527.8,544.4,569.4,311.1,5427.8,10594.9,0.512,15.8,24,58,38,20.3,5.2,17.8,0.646,0.694,20.95,20.85,0.567,0.54,0.009,0.997,6006.4,0.565,"c10","c08",0.3996201
17436,"MU",2012,8,22,538.9,700,813.9,877.8,875,811.1,708.3,552.8,789.4,978.2,1111.8,1181,1181,1111.8,978.2,789.4,0.683,0.716,0.732,0.743,0.741,0.73,0.724,0.7,6858.3,9919.2,0.691,502.8,641.7,788.9,872.2,855.6,811.1,700,527.8,6702.8,9966.8,0.673,25,38.2,67,26,31.2,0,25.7,0.867,0.056,27.017,27.283,0.801,0.783,0.018,0.017,7160.2,0.722,"c02","c01",0.681017
21046,"SS",2015,10,15,327.8,483.3,594.4,650,655.6,550,350,255.6,460.1,641.7,770.1,836.6,836.6,770.1,641.7,460.1,0.712,0.753,0.772,0.777,0.784,0.714,0.545,0.555,4163.9,5925.5,0.703,250,252.8,363.9,458.3,158.3,219.4,247.2,208.3,2361.1,5995.2,0.394,8.9,10.8,71,74,9.4,0,11.4,0.669,0.068,13.65,14.75,0.527,0.575,0.256,0.192,3681.4,0.621,"c03","c02",0.663080899999999
8108,"BI",2007,7,2,225,211.1,366.7,461.1,386.1,511.1,308.3,280.6,884.2,1046.1,1160.6,1219.9,1219.9,1160.6,1046.1,884.2,0.254,0.202,0.316,0.378,0.317,0.44,0.295,0.317,3352.8,11446.8,0.293,283.3,336.1,219.4,163.9,161.1,166.7,136.1,161.1,2538.9,11458.3,0.222,18.3,18.2,83,71,18.8,4.7,18.6,0.69,0.376,22.15,21.45,0.534,0.544,0.721,0.127,8927.9,0.78,"c09","c09",0.375377466666667
13066,"MM",2015,1,20,169.4,219.4,247.2,330.6,394.4,327.8,238.9,102.8,290.4,474.4,604.6,672,672,604.6,474.4,290.4,0.584,0.463,0.409,0.492,0.587,0.542,0.504,0.354,2097.2,4205.4,0.499,144.4,363.9,469.4,527.8,525,463.9,338.9,175,3052.8,4167.1,0.733,3.2,7,66,32,4.2,1,1.8,0.729,0.677,2.783,4.75,0.661,0.642,0.838,0.903,1832.4,0.436,"c04","c05",0.429993866666666
3018,"AB",2015,11,25,80.6,316.7,461.1,527.8,530.6,475,327.8,61.1,304,490.8,622.9,691.3,691.3,622.9,490.8,304,0.265,0.645,0.74,0.763,0.767,0.763,0.668,0.201,2822.2,4357.1,0.648,211.1,377.8,475,544.4,541.7,447.2,283.3,216.7,3152.8,4393,0.718,-0.7,11.8,82,43,5.9,0,8.7,0.615,0.377,10.917,13.117,0.545,0.472,0.062,0.008,2889.9,0.663,"c03","c02",0.624915933333333
11533,"MM",2009,10,23,275,444.4,533.3,622.2,616.7,561.1,336.1,288.9,446.9,635.9,769.6,838.8,838.8,769.6,635.9,446.9,0.615,0.699,0.693,0.742,0.735,0.729,0.529,0.646,3938.9,5822.1,0.677,338.9,486.1,600,633.3,538.9,550,352.8,355.6,4141.7,5886.3,0.704,10.7,16.7,62,39,14,0,11.7,0.673,0.053,15.45,18.15,0.473,0.432,0,0,4227.1,0.726,"c02","c02",0.690597
7605,"BA",2014,10,7,369.4,447.2,547.2,616.7,525,566.7,419.4,330.6,532.6,720.1,852.8,921.5,921.5,852.8,720.1,532.6,0.694,0.621,0.642,0.669,0.57,0.664,0.582,0.621,4175,6758.8,0.618,191.7,288.9,244.4,291.7,538.9,558.3,488.9,341.7,3188.9,6828,0.467,19.6,23.8,84,76,21.6,0,20.7,0.795,0.17,22.617,22.75,0.685,0.754,0,0,4604.7,0.681,"c03","c02",0.619340333333333
16267,"MU",2009,2,16,266.7,380.6,430.6,266.7,358.3,502.8,436.1,108.3,460.5,657.2,796.4,868.5,868.5,796.4,657.2,460.5,0.579,0.579,0.541,0.307,0.413,0.631,0.664,0.235,2883.3,6009.9,0.48,33.3,58.3,130.6,261.1,147.2,122.2,150,138.9,1127.8,5948.4,0.19,10,12.2,82,78,10.5,0.1,10.6,0.64,0.401,12.45,12.35,0.495,0.517,0.093,0.161,4603,0.766,"c05","c05",0.511476266666666
16421,"MU",2009,8,4,583.3,788.9,872.2,936.1,936.1,877.8,761.1,594.4,843.1,1026.1,1155.5,1222.5,1222.5,1155.5,1026.1,843.1,0.692,0.769,0.755,0.766,0.766,0.76,0.742,0.705,7405.6,10673.3,0.694,380.6,633.3,866.7,950,950,897.2,733.3,452.8,7183.3,10708.5,0.671,25.6,33.2,79,45,28.6,0,24,0.834,0.371,25.95,26.05,0.752,0.714,0.934,0.202,7288.5,0.683,"c01","c01",0.661519233333333
23647,"ST",2015,1,25,111.1,150,133.3,127.8,275,363.9,177.8,111.1,264.9,441.5,566.3,631,631,566.3,441.5,264.9,0.419,0.34,0.235,0.203,0.436,0.643,0.403,0.419,1486.1,3904.8,0.381,97.2,125,172.2,155.6,155.6,125,36.1,22.2,925,3860.1,0.24,6.1,10,71,74,8.6,0.8,10.2,0.564,0.745,10.35,10.283,0.535,0.552,0.995,0.998,1023.7,0.262,"c10","c08",0.3723068
1147,"AB",2010,8,3,594.4,733.3,825,866.7,872.2,825,741.7,627.8,842.7,1022.8,1150.2,1216.1,1216.1,1150.2,1022.8,842.7,0.705,0.717,0.717,0.713,0.717,0.717,0.725,0.745,7397.2,10683.7,0.692,613.9,738.9,783.3,741.7,813.9,780.6,766.7,638.9,7341.7,10719.6,0.685,21.6,34.8,54,30,28,0,25.3,0.555,0.04,29.45,31.55,0.356,0.296,0,0,7701.6,0.721,"c02","c01",0.695306000000001
12710,"MM",2013,12,1,175,322.2,436.1,491.7,491.7,430.6,322.2,169.4,262.2,444,572.7,639.3,639.3,572.7,444,262.2,0.668,0.726,0.762,0.769,0.769,0.752,0.726,0.646,2897.2,3922,0.739,127.8,213.9,211.1,166.7,180.6,105.6,108.3,63.9,1219.4,3950.8,0.309,-3.6,6.4,88,59,2.2,0,4.9,0.42,0,6.683,10.25,0.348,0.29,0,0,2925.3,0.746,"c02","c01",0.725582066666666
1449,"AB",2011,6,10,675,825,930.6,986.1,941.7,711.1,486.1,547.2,892.3,1065.8,1188.5,1252,1252,1188.5,1065.8,892.3,0.756,0.774,0.783,0.788,0.752,0.598,0.456,0.613,7675,11444.6,0.671,611.1,788.9,841.7,913.9,741.7,719.4,572.2,480.6,7152.8,11434.8,0.626,14.8,25,75,35,19.4,0,18.5,0.593,0.205,21.383,23.483,0.488,0.412,0.002,0.121,8394.7,0.734,"c03","c02",0.670992433333333
1854,"AB",2012,8,12,491.7,461.1,597.2,358.3,502.8,841.7,780.6,566.7,818,1001,1130.5,1197.5,1197.5,1130.5,1001,818,0.601,0.461,0.528,0.299,0.42,0.745,0.78,0.693,5944.4,10326.5,0.576,555.6,708.3,819.4,758.3,761.1,669.4,550,250,6211.1,10369.1,0.599,25.1,38.9,41,23,31.8,0,26.2,0.225,0.141,31.583,34.317,0.168,0.116,0.82,0.229,7051.4,0.683,"c05","c05",0.596964666666666
13855,"MA",2010,9,30,425,600,716.7,797.2,808.3,744.4,613.9,433.3,620.8,821.1,962.8,1036.1,1036.1,962.8,821.1,620.8,0.685,0.731,0.744,0.769,0.78,0.773,0.748,0.698,5702.8,7818.7,0.729,419.4,588.9,719.4,788.9,788.9,711.1,616.7,425,5611.1,7881.2,0.712,19.7,26.2,63,57,21,0,21.6,0.574,0.17,27.35,26.75,0.409,0.392,0.442,0.138,5853.2,0.749,"c01","c01",0.7064136
14300,"MA",2012,2,26,388.9,566.7,683.3,747.2,736.1,675,563.9,386.1,533.8,735.5,878.2,952,952,878.2,735.5,533.8,0.729,0.77,0.778,0.785,0.773,0.769,0.767,0.723,5141.7,6831.9,0.753,388.9,563.9,680.6,744.4,736.1,672.2,550,375,5094.4,6767.8,0.753,8.1,19.3,49,43,11.8,0,14.2,0.447,0,17.25,19.55,0.449,0.343,0,0,5328.2,0.78,"c01","c01",0.751596333333332
2181,"AB",2013,7,16,641.7,800,911.1,975,980.6,922.2,813.9,652.8,877.3,1052.4,1176.3,1240.4,1240.4,1176.3,1052.4,877.3,0.731,0.76,0.775,0.786,0.79,0.784,0.773,0.744,8338.9,11210.8,0.744,633.3,794.4,913.9,975,980.6,925,825,669.4,8344.4,11232.3,0.743,19.1,32.2,88,28,25.2,0,24.5,0.463,0.003,28.883,31.65,0.265,0.199,0,0,8642.4,0.771,"c01","c01",0.741538800000001
9116,"BI",2010,7,8,583.3,722.2,800,786.1,655.6,583.3,263.9,205.6,878.6,1041.2,1156.2,1215.8,1215.8,1156.2,1041.2,878.6,0.664,0.694,0.692,0.647,0.539,0.505,0.253,0.234,5708.3,11355.4,0.503,655.6,794.4,891.7,936.1,927.8,850,775,636.1,8066.7,11373.3,0.709,18.4,30.2,76,42,22.3,0,22.7,0.76,0.202,28.75,28.15,0.571,0.596,0.027,0.353,7875.5,0.694,"c07","c03",0.553777899999999
234,"AB",2007,12,10,169.4,325,438.9,502.8,500,433.3,325,172.2,264.8,449.4,580,647.6,647.6,580,449.4,264.8,0.64,0.723,0.757,0.776,0.772,0.747,0.723,0.651,2902.8,3968.8,0.731,80.6,86.1,269.4,330.6,402.8,338.9,358.3,102.8,2013.9,3985.5,0.505,3.8,14.8,97,62,9.4,0,6.1,0.576,0,9.05,10.65,0.382,0.335,0,0,3016.5,0.76,"c02","c01",0.714520699999999
23726,"ST",2015,4,21,302.8,469.4,625,688.9,911.1,852.8,727.8,572.2,763.3,939,1063.4,1127.7,1127.7,1063.4,939,763.3,0.397,0.5,0.588,0.611,0.808,0.802,0.775,0.75,6200,9614.3,0.645,558.3,730.6,841.7,905.6,902.8,844.4,725,563.9,7222.2,9555.3,0.756,12.2,15.5,78,79,13.8,0,14.2,0.85,0.441,15.65,16.317,0.756,0.722,0.631,0.176,6829,0.71,"c08","c02",0.615918933333333
